video_filename,prompt
ReMoMask-2_c01.mp4,a man walks forwards and then stops.
ReMoMask-2_c02.mp4,a person is balancing on something.
ReMoMask-2_c03.mp4,a man walks forward in a clumsy way.
ReMoMask-2_c04.mp4,a person walks forward rather slowly.
MoGenTS_c01.mp4,a man walks forwards and then stops.
MoGenTS_c02.mp4,a person is balancing on something.
MoGenTS_c03.mp4,a person walks forward in a clumsy way.
MoGenTS_c04.mp4,a_person_walks_forward_rather_slowly.
ReMoDiffuse_c01.mp4,a man walks forwards and then stops.
ReMoDiffuse_c02.mp4,a person is balancing on something.
ReMoDiffuse_c03.mp4,a person walks forward in a clumsy way.
ReMoDiffuse_c04.mp4,a_person_walks_forward_rather_slowly.
ReMoMask-1_c01.mp4,a man walks forwards and then stops.
ReMoMask-1_c02.mp4,a person is balancing on something.
ReMoMask-1_c03.mp4,a person walks forward in a clumsy way.
ReMoMask-1_c04.mp4,a_person_walks_forward_rather_slowly.
TMR_c01.mp4,a man walks forwards and then stops.
TMR_c02.mp4,a person is balancing on something.
TMR_c03.mp4,a person walks forward in a clumsy way.
TMR_c04.mp4,a_person_walks_forward_rather_slowly.
