video_filename,prompt
q02_backward_walk.mp4,A person walks backward in a straight line.
q03_sideways_steps.mp4,A person takes several sideways steps while keeping their body facing forward.
q07_jumping_jacks.mp4,"A person performs jumping jacks, opening and closing both arms and legs."
q09_vertical_jump.mp4,A person jumps upward from both feet and lands in the same spot.
q14_right_hand_wave.mp4,A person waves their right hand above shoulder height while standing still.
q26_forward_bend.mp4,A person bends forward at the waist with their arms hanging down.
q27_explaining_gestures.mp4,A person gestures with both hands while explaining something.
q28_point_forward_right.mp4,A person points forward with their right arm.
q42_small_forward_jump.mp4,A person makes a small jump forward from both feet.
q43_slow_right_side_steps.mp4,A person takes slow sideways steps to the right.
q51_right_arm_reach.mp4,A person reaches upward with the right arm.
q52_easy_jog.mp4,A person jogs at an easy pace.
q53_forward_run.mp4,"A person runs forward quickly, pumping both arms."
q55_reach_toward_toes.mp4,A person bends forward and reaches both hands toward their toes.
q64_arm_swing_forward_bend.mp4,A person warms up by swinging both arms and bending their upper body forward.
q67_short_bow.mp4,A person gives a short bow.
